순위,관광지명,주소,분류,
75,노브랜드/가오2호점,대전 동구 대전로 408-0,쇼핑,대전광역시 동구
76,식장산/세천공원등산로,대전 동구,자연관광지,대전광역시 동구
77,역전시장,대전 동구 역전시장길 23-0,쇼핑,대전광역시 동구
78,신도꼼지락시장,대전 동구 흥룡로37번길 17-0,쇼핑,대전광역시 동구
79,테크존/대전동구점,대전 동구 산서로 1613-0,레포츠(육상/해상/항공),대전광역시 동구
80,호국철도광장,대전 동구,자연관광지,대전광역시 동구
81,롯데하이마트/대전터미널점,대전 동구 동서대로 1701-0,쇼핑,대전광역시 동구
82,아리랑가구프라자,대전 동구 홍도로 11-0,쇼핑,대전광역시 동구
83,용운시장,대전 동구 새울로91번길 14-22,쇼핑,대전광역시 동구
84,우송예술회관,대전 동구 동대전로 171-0,공연/행사,대전광역시 동구
85,대전남부여성가족원,대전 동구 동구청로 36-0,문화시설,대전광역시 동구
86,대전전통나래관,대전 동구 철갑2길 2-0,문화관광,대전광역시 동구
87,명상정원,대전 동구,문화관광,대전광역시 동구
88,삼성디지털프라자/판암점,대전 동구 옥천로 93-0,쇼핑,대전광역시 동구
89,다이소/e에브리데이용방점,대전 동구 계족로140번길 183-0,쇼핑,대전광역시 동구
90,신일전자서비스센터/대전점,대전 동구 한밭대로1283번길 11-0,쇼핑,대전광역시 동구
91,다이소/하나로마트동대전점,대전 동구 계족로 63-0,쇼핑,대전광역시 동구
92,명신귀금속도매센터,대전 동구 동서대로 1708-0,쇼핑,대전광역시 동구
93,가구톡세상/대전점,대전 동구 물류로 4-0,쇼핑,대전광역시 동구
94,대전역서광장,대전 동구,기타관광지,대전광역시 동구
95,다이소/하모니대전아리랑점,대전 동구 홍도로 11-0,쇼핑,대전광역시 동구
96,대전대학교30주년기념관,대전 동구 대학로 62-0,문화시설,대전광역시 동구
97,대전판암선수촌,대전 동구 옻밭5길 175-0,기타관광지,대전광역시 동구
98,일렉트로마트/대전터미널점,대전 동구 동서대로 1689-0,쇼핑,대전광역시 동구
99,용운국제수영장,대전 동구 동부로 138-0,문화관광,대전광역시 동구
100,다이소/롯데슈퍼용운점,대전 동구 동부로85번길 19-8,쇼핑,대전광역시 동구
